header,n
a few representative examples include,1
collections as follows,1
have slightly decreased in size,1
pseudocysts are as follows,1
bifurcation of left/right hepatic artery,1
degree of solid soft-tissue contact,1
extension to celiac axis,1
extension to first draining vein,1
extension to first sma branch,1
of increased hazy attenuation/stranding,1
overall venous system,1
venous collaterals,1
vessel narrowing or contour irregularity,1
with or without upstream dilatation,1
distinct loculated components,1
and intra-abdominal fluid collections,1
gallbladder and bile ducts,1
duodenum,1
examples  of cystic lesions measure,1
the largest components are as follows,1
with representative  examples as follows,1
sample  pseudocysts are as follows,1
collection is further described as below,1
fluid collections remaining as follows,1
pseudocysts are  as follows,1
normal gallbladder and bile ducts,1
unchanged  masses,1
fluid collections are seen as follows,1
loculated collections are as follows,1
